n,N,nb,s,DIST,10,100,1000,10000,100000
35,5,128,1,normal,0.000774852931499,0.00080656260252,0.002324655652046,0.017430536448956,0.170842237770557
35,5,128,1,gamma,0.002200327813625,0.001036398112774,0.003287084400654,0.026227608323097,0.281672410666943
35,5,128,1,uniform,0.002640798687935,0.000980876386166,0.001483172178268,0.007485613226891,0.070428788661957
35,5,128,4,normal,0.002701073884964,0.001277878880501,0.003574825823307,0.027182266116142,0.251032866537571
35,5,128,4,gamma,0.002309806644917,0.001209802925587,0.004056692123413,0.033044099807739,0.314739517867565
35,5,128,4,uniform,0.002190120518208,0.000841706991196,0.001304186880589,0.00711103528738,0.068161815404892
35,5,1024,1,normal,0.002059280872345,0.00080943852663,0.001781113445759,0.012669205665588,0.123560905456543
35,5,1024,1,gamma,0.002026714384556,0.000906877219677,0.002461016178131,0.018636554479599,0.180501103401184
35,5,1024,1,uniform,0.001978389918804,0.000715672969818,0.000983744859695,0.004684269428253,0.047549121081829
35,5,1024,4,normal,0.002064973115921,0.00090404599905,0.002306446433067,0.016790077090263,0.162920989096165
35,5,1024,4,gamma,0.002160631120205,0.001047566533089,0.003169566392899,0.025074563920498,0.241973295807838
35,5,1024,4,uniform,0.00206097215414,0.000777177512646,0.001128554344177,0.005803555250168,0.058435767889023
220,10,128,1,normal,0.005410209298134,0.004998818039894,0.014519661664963,0.109946087002754,1.06588445603848
220,10,128,1,gamma,0.011237807571888,0.006365373730659,0.020854651927948,0.166030816733837,1.59328143298626
220,10,128,1,uniform,0.01078974455595,0.004529096186161,0.007380597293377,0.038736522197723,0.384877398610115
220,10,128,4,normal,0.011296264827252,0.006256446242332,0.02029537409544,0.160866908729076,1.55331300199032
220,10,128,4,gamma,0.012386582791805,0.00808447599411,0.029727496206761,0.245048068463802,2.36863021552563
220,10,128,4,uniform,0.011767849326134,0.005419492721558,0.009765557944775,0.052453681826592,0.526579588651657
220,10,1024,1,normal,0.010747909545899,0.00476336479187,0.012823030352593,0.093637883663178,0.919174455106258
220,10,1024,1,gamma,0.011249132454395,0.005740247666836,0.017548732459545,0.137814700603485,1.34461042284966
220,10,1024,1,uniform,0.011003792285919,0.004396118223667,0.006752163171768,0.034547157585621,0.357671588659286
220,10,1024,4,normal,0.011619068682194,0.00634928047657,0.020818248391152,0.164716489613056,1.60409466922283
220,10,1024,4,gamma,0.01276558637619,0.0084493085742,0.030215948820114,0.250197619199753,2.39988202601671
220,10,1024,4,uniform,0.011612579226494,0.005482330918312,0.009597137570381,0.05241521447897,0.535597622394562
680,15,128,1,normal,0.019186615943909,0.015704281628132,0.045423530042172,0.34541130065918,3.37327946722507
680,15,128,1,gamma,0.032757334411144,0.020115040242672,0.065416730940342,0.517315998673439,5.00319376587868
680,15,128,1,uniform,0.03121393173933,0.014661118388176,0.023712322115898,0.124075978994369,1.27043775469065
680,15,128,4,normal,0.032373450696468,0.020036652684212,0.065121211111546,0.516740821301937,5.40375287085772
680,15,128,4,gamma,0.036596618592739,0.026111572980881,0.096361853182316,0.792457401752472,7.60496280342341
680,15,128,4,uniform,0.033440910279751,0.017388992011547,0.03023024648428,0.16822100430727,1.77027858048677
680,15,1024,1,normal,0.030238658189774,0.015846349298954,0.045051008462906,0.33761341124773,3.29662925750017
680,15,1024,1,gamma,0.032687567174435,0.020016893744469,0.064033143222332,0.502537652850151,4.871466755867
680,15,1024,1,uniform,0.031072214245796,0.014691144227982,0.023599311709404,0.12182329595089,1.23751053959131
680,15,1024,4,normal,0.033564351499081,0.022029034793377,0.073633685708046,0.591109730303288,5.81379989534617
680,15,1024,4,gamma,0.037957683205605,0.028717875480652,0.108384571969509,0.900788530707359,8.72717249393463
680,15,1024,4,uniform,0.035477265715599,0.019147612154484,0.033898189663887,0.190748900175095,1.99475179612637
1540,20,128,1,normal,0.047222070395947,0.037950552999973,0.106747597455978,0.80522508919239,8.16738051176071
1540,20,128,1,gamma,0.069087132811546,0.046399503946304,0.149499453604221,1.18817739188671,11.8155367001891
1540,20,128,1,uniform,0.065046682953835,0.034281760454178,0.054898329079151,0.288457423448563,2.97277909517288
1540,20,128,4,normal,0.067558236420155,0.046594932675362,0.144370533525944,1.13161685317755,11.0894624441862
1540,20,128,4,gamma,0.075939245522022,0.058209680020809,0.210059091448784,1.72162175178528,17.1770562157035
1540,20,128,4,uniform,0.070948123931885,0.039885737001896,0.068992853164673,0.381079994142056,3.94868338853121
1540,20,1024,1,normal,0.063521489501,0.038927748799324,0.109224759042263,0.818126015365124,8.14115362614393
1540,20,1024,1,gamma,0.070918418467045,0.048748597502709,0.158099457621574,1.32237295806408,11.9110550507903
1540,20,1024,1,uniform,0.065698556602001,0.034494943916798,0.056237064301968,0.294226579368115,3.0409819483757
1540,20,1024,4,normal,0.071794271469116,0.054200559854508,0.181418217718601,1.45103073120117,14.2298930734396
1540,20,1024,4,gamma,0.083505436778069,0.07025308907032,0.267921604216099,2.21764931082726,21.4941729828715
1540,20,1024,4,uniform,0.074331097304821,0.045026153326035,0.08047416061163,0.458847157657146,4.83120732009411
2925,25,128,1,normal,0.090034455060959,0.074862234294415,0.206582419574261,1.82469134032726,15.5021777674556
2925,25,128,1,gamma,0.126104675233364,0.089778013527393,0.291823506355286,2.31411683559418,22.6481064483523
2925,25,128,1,uniform,0.120044626295567,0.066731311380863,0.109033197164536,0.574578620493412,5.90316969156265
2925,25,128,4,normal,0.123319648206234,0.089944273233414,0.278598062694073,2.16799057275057,21.3040336295962
2925,25,128,4,gamma,0.1381845921278,0.111886002123356,0.402238003909588,3.29466138035059,32.06112062186
2925,25,128,4,uniform,0.128027342259884,0.075928397476673,0.13220901042223,0.727355763316155,7.59179470688105
2925,25,1024,1,normal,0.122178368270397,0.088027335703373,0.268911100924015,2.09048303961754,20.9636428281665
2925,25,1024,1,gamma,0.17073617875576,0.143715977668762,0.435169205069542,3.15809632092714,30.8919979035854
2925,25,1024,1,uniform,0.12636549025774,0.075554393231869,0.129118733108044,0.705190755426884,7.40846160054207
2925,25,1024,4,normal,0.133721634745598,0.108535617589951,0.364198364317417,2.92138067632914,29.3460947573185
2925,25,1024,4,gamma,0.154722407460213,0.138753339648247,0.535557053983212,4.48287877440453,44.745679333806
2925,25,1024,4,uniform,0.137873828411102,0.088571421802044,0.161189965903759,0.916919529438019,9.73281489312649
4960,30,128,1,normal,0.158862374722958,0.132716156542301,0.372431091964245,3.24477126449347,28.1714121848345
4960,30,128,1,gamma,0.213343627750874,0.159450761973858,0.524178974330425,4.17144567519426,41.2212200537324
4960,30,128,1,uniform,0.198770940303803,0.115038670599461,0.191796369850636,1.01896201074123,10.6349696442485
4960,30,128,4,normal,0.20880950242281,0.15744574368,0.494615480303764,3.84958070516586,38.8938890621066
4960,30,128,4,gamma,0.235044628381729,0.196577966213226,0.715148866176605,6.19353936612606,57.6407889202237
4960,30,128,4,uniform,0.21497106552124,0.133526556193829,0.23392628133297,1.28741167485714,13.4668156281114
4960,30,1024,1,normal,0.21004905551672,0.159153886139393,0.498613089323044,4.01549135148525,38.3484695330262
4960,30,1024,1,gamma,0.236123688519001,0.19765105843544,0.720002673566341,5.90850876271725,57.4952938184142
4960,30,1024,1,uniform,0.214021705091,0.132664054632187,0.233291372656822,1.29517429322004,13.7458887323737
4960,30,1024,4,normal,0.226976081728935,0.185195185244083,0.626220464706421,4.99318913370371,49.527995146811
4960,30,1024,4,gamma,0.258669294416904,0.237049661576748,0.916690148413181,8.04001091420651,74.7505375742912
4960,30,1024,4,uniform,0.232596017420292,0.154580615460873,0.279943153262138,1.57865172624588,16.6008194163442
7770,35,128,1,normal,0.255469761788845,0.21645437926054,0.613914273679256,4.83639756590128,47.4333377704024
7770,35,128,1,gamma,0.331436567008495,0.259614296257496,0.958136446774006,6.90375705063343,67.0628774613142
7770,35,128,1,uniform,0.31078327447176,0.188549600541592,0.316847905516624,1.65784472227097,17.3104440271854
7770,35,128,4,normal,0.325258806347847,0.255304858088493,0.804685637354851,6.29393944889307,61.797557592392
7770,35,128,4,gamma,0.362799502909183,0.318329885601997,1.16575747728348,9.6223224774003,92.7913792803884
7770,35,128,4,uniform,0.329354010522366,0.213931523263454,0.378852538764477,2.08605030179024,21.7817354723811
7770,35,1024,1,normal,0.339310236275196,0.26130373030901,0.824684962630272,6.41263914853334,65.2236511260271
7770,35,1024,1,gamma,0.371279500424862,0.319423757493496,1.17729689180851,10.1996344700456,98.3647944629192
7770,35,1024,1,uniform,0.333475835621357,0.217021875083446,0.379416301846504,2.10809678584337,22.9675403013825
7770,35,1024,4,normal,0.349669314920902,0.295010209083557,0.993616186082363,8.44767931848764,80.82695966959
7770,35,1024,4,gamma,0.414479099214077,0.380577400326729,1.45639611780643,12.1738390848041,116.117669247091
7770,35,1024,4,uniform,0.351153500378132,0.241215549409389,0.440199829638004,2.49567949026823,25.7819588854909
11480,40,128,1,normal,0.385089792311192,0.322831802070141,0.915800377726555,6.85035324841738,66.7723956033588
11480,40,128,1,gamma,0.481410145759582,0.387289315462112,1.28106127679348,10.2853825315833,98.1569262817502
11480,40,128,1,uniform,0.446914747357369,0.279692813754082,0.471558026969433,2.45927277952433,25.763959556818
11480,40,128,4,normal,0.48498672246933,0.391406185925007,1.24639136344194,9.75283725559711,94.56254414469
11480,40,128,4,gamma,0.539706408977508,0.488352850079536,1.80676967650652,14.9641665145755,142.575787484646
11480,40,128,4,uniform,0.487003207206726,0.326773203909397,0.579738676548004,3.20933163911104,33.7679892107844
11480,40,1024,1,normal,0.485193431377411,0.388347752392292,1.23566540330648,10.1712230592966,95.0273350328207
11480,40,1024,1,gamma,0.601470671594143,0.482955098152161,1.79136829823256,14.7138335332274,139.501255951822
11480,40,1024,1,uniform,0.492468290030956,0.32991211861372,0.587486989796162,3.18784490227699,33.0516813918948
11480,40,1024,4,normal,0.517823711037636,0.443184889853001,1.50585827976465,12.0148460119963,116.271466203034
11480,40,1024,4,gamma,0.585106499493122,0.566689416766167,2.20781197398901,18.4653541147709,176.83500020951
11480,40,1024,4,uniform,0.518008835613728,0.361755475401878,0.667329490184784,3.76900213211775,39.2153755426407
16215,45,128,1,normal,0.551442801952362,0.474062770605087,1.37640682607889,9.72048336267471,95.4282891824841
16215,45,128,1,gamma,0.677817516028881,0.550480298697948,1.83672807365656,15.0875842869282,142.063803113997
16215,45,128,1,uniform,0.632644802331924,0.393900707364082,0.655499219894409,3.54765898734331,36.5578643530607
16215,45,128,4,normal,0.692499831318855,0.563025616109371,1.80868023633957,14.1834797263145,137.620007805526
16215,45,128,4,gamma,0.768979392945766,0.702510252594948,2.62390512228012,22.2558388486505,208.851822584867
16215,45,128,4,uniform,0.694441899657249,0.467174418270588,0.840452186763287,4.64968490600586,48.4378568008542
16215,45,1024,1,normal,0.690236575901508,0.552286401391029,1.74038142710924,13.5658250302076,131.125130593777
16215,45,1024,1,gamma,0.755606070160866,0.679916135966778,2.50819539278746,21.1849785372615,198.144887618721
16215,45,1024,1,uniform,0.681359075009823,0.455650717020035,0.810287788510323,4.98796886205673,46.2967788875103
16215,45,1024,4,normal,0.73733564466238,0.738617472350597,2.16509497910738,17.2834064736962,168.333871796727
16215,45,1024,4,gamma,0.827935874462128,0.808858513832092,3.6991828083992,27.2565382570028,251.045996360481
16215,45,1024,4,uniform,0.742870636284351,0.519418872892857,0.957687348127365,5.42441518604755,55.1102890521288
22100,50,128,1,normal,0.774599820375443,0.630403034389019,1.78064112365246,13.3075827360153,130.069396018982
22100,50,128,1,gamma,0.930517047643662,0.756475612521172,2.49465674161911,19.9669153541327,192.183413296938
22100,50,128,1,uniform,0.856252931058407,0.542817272245884,0.990551359951496,4.79769492149353,50.157590828836
22100,50,128,4,normal,0.942874476313591,0.776651479303837,2.46683405339718,20.0350282341242,189.860635921359
22100,50,128,4,gamma,1.05104824900627,0.96943037956953,3.58795647323132,29.6874443739653,283.664532229304
22100,50,128,4,uniform,0.938506014645099,0.647768430411815,1.11427598446608,6.39403364807367,66.4423218220472
22100,50,1024,1,normal,0.941499538719654,0.75369068980217,2.35729977488518,18.6023163571954,181.45695014298
22100,50,1024,1,gamma,1.04208429157734,1.22823185473681,3.63029453158379,28.1382091492414,269.704811394215
22100,50,1024,1,uniform,0.928937211632729,0.627319797873497,1.08965688198805,6.21690294146538,64.4570859000087
22100,50,1024,4,normal,1.00948330760002,0.878098569810391,2.96923537552357,23.9551268741488,230.432196065783
22100,50,1024,4,gamma,1.13608407974243,1.11619780212641,4.89916846901178,36.76380674541,350.720363371074
22100,50,1024,4,uniform,1.00176523625851,0.716333866119385,1.30270881205797,7.49578928947449,76.8935548514128
